host_time_s,t_ms,ax1,ay1,az1,gx1,gy1,gz1,yaw1,pitch1,roll1,ax2,ay2,az2,gx2,gy2,gz2,yaw2,pitch2,roll2,emg1,emg2
1771521957.832798,277656,0.72,-0.47,-0.45,177.44,-87.19,76.87,11.94,6.50,-5.06,-0.04,-0.08,-0.12,141.75,56.44,311.50,-4.37,5.69,-0.56,7,7
1771521958.023573,277847,-0.62,0.34,0.58,2.12,-87.81,76.87,-5.50,-5.94,-0.06,-0.05,-0.11,-0.08,141.87,57.25,313.50,-6.44,2.31,-0.94,7,6
1771521958.213102,278036,0.15,-0.14,-0.10,1.37,-88.25,76.69,1.62,-21.31,9.25,-0.03,-0.04,0.15,141.81,57.19,314.06,-0.56,-1.06,4.25,6,5
1771521958.402863,278226,-0.48,0.08,0.28,-0.13,-85.50,75.06,1.25,-2.75,3.69,-0.01,-0.11,0.08,141.69,57.06,313.87,-0.81,-1.94,-0.13,5,4
1771521958.595793,278419,0.17,0.04,-0.05,-0.44,-85.69,74.37,-3.69,-0.81,0.56,-0.01,-0.08,-0.03,141.87,56.75,313.50,1.25,-3.31,-0.19,6,4
1771521958.786052,278609,-0.18,0.11,0.16,-0.69,-85.37,73.50,-3.44,4.87,0.75,0.00,-0.01,-0.06,142.37,56.25,312.62,2.56,-5.37,-1.81,6,4
1771521958.976314,278800,0.16,0.23,-0.06,-1.12,-85.69,72.75,2.25,-12.88,6.31,0.05,0.00,0.00,142.69,56.19,312.19,2.56,-2.19,-0.19,4,4
1771521959.166009,278989,0.17,0.12,-0.05,-1.44,-85.25,73.00,1.31,5.62,-3.56,0.04,-0.18,-0.16,142.50,55.88,311.56,-1.37,0.50,0.56,4,4
1771521959.355873,279179,0.19,0.00,0.04,-0.69,-86.75,74.06,2.50,19.25,-5.25,-0.15,-0.05,0.07,142.19,56.31,311.31,3.75,1.94,-3.19,4,4
1771521959.548857,279372,0.04,-0.15,0.03,-0.44,-88.37,74.87,2.62,1.37,0.94,-0.07,-0.02,-0.13,142.37,56.31,310.75,9.44,-9.81,-2.12,4,5
1771521959.739391,279563,0.00,0.00,0.06,-0.75,-88.25,74.25,-6.12,-5.44,5.12,-0.09,-0.02,-0.04,142.81,55.50,307.37,8.69,-6.81,-3.44,2,3
1771521959.929935,279753,-0.03,0.25,0.14,-1.56,-87.31,71.94,-7.94,-3.25,-0.69,0.04,-0.18,0.01,142.19,55.25,306.06,-0.13,3.37,2.87,1,4
1771521960.119321,279943,0.07,-0.07,0.00,-0.88,-87.44,72.00,1.87,-1.06,-5.62,0.07,-0.11,-0.06,141.44,55.13,305.87,0.06,-0.94,2.31,2,3
1771521960.309132,280133,0.13,0.04,0.00,-0.44,-86.81,72.75,2.81,-6.31,2.12,0.02,-0.27,0.07,141.69,54.94,306.06,-5.44,0.44,-1.12,3,4
1771521960.502295,280325,-0.23,-0.20,0.15,0.00,-85.69,75.25,11.63,-1.25,-1.31,-0.03,-0.08,-0.08,142.81,54.94,307.37,-5.44,0.81,2.06,3,4
1771521960.692718,280516,0.17,-0.23,0.03,0.00,-86.25,76.87,0.19,5.31,-2.87,-0.03,-0.05,-0.17,143.12,54.88,308.50,-3.44,1.94,-0.50,3,4
1771521960.883455,280707,-0.02,0.18,0.01,0.06,-86.37,76.00,-3.12,-0.94,5.56,0.00,-0.04,-0.11,143.62,55.00,309.19,-0.50,-0.44,-1.44,4,4
1771521961.072343,280896,0.05,0.01,0.00,-0.75,-86.25,75.12,-0.56,0.19,1.37,0.00,-0.06,-0.07,143.75,55.13,309.25,1.06,1.56,-1.06,3,4
1771521961.263901,281087,-0.01,0.10,-0.02,-0.94,-86.12,74.56,0.37,0.31,0.81,-0.01,-0.13,-0.04,143.62,55.38,309.37,-0.56,0.94,-0.44,3,4
1771521961.455755,281279,0.04,-0.01,0.00,-1.19,-86.12,74.75,3.44,-0.75,0.31,-0.03,-0.11,-0.06,143.75,55.44,309.75,-0.94,-0.13,0.19,4,4
1771521961.646260,281470,0.02,0.00,0.01,-1.25,-85.94,74.87,-0.88,0.00,0.81,0.00,-0.06,-0.04,143.81,55.44,309.81,0.13,-0.37,-1.19,3,4
1771521961.836730,281660,0.11,0.05,-0.09,-1.50,-85.94,74.56,0.19,0.00,1.44,0.04,-0.03,0.03,143.94,55.50,309.87,1.37,-0.56,-0.56,3,3
1771521962.027897,281851,0.03,0.08,-0.02,-1.62,-85.75,74.37,-0.56,-2.81,1.06,-0.03,-0.10,-0.08,143.94,55.38,309.56,1.06,-0.44,0.13,3,4
1771521962.218082,282042,0.13,0.08,-0.04,-1.87,-85.50,74.37,4.87,5.94,-0.94,-0.14,-0.22,-0.16,143.87,55.56,309.56,-1.12,0.50,0.37,2,4
1771521962.409325,282233,-0.11,-0.07,0.00,-1.69,-85.56,75.00,-1.19,-1.00,-0.31,0.03,-0.04,0.00,143.69,55.63,309.69,0.37,0.56,-0.56,2,3
1771521962.599816,282423,0.08,0.00,-0.09,-1.75,-85.69,74.56,-1.19,-0.13,0.75,0.00,-0.11,-0.06,143.75,55.63,309.62,0.13,-0.37,0.37,2,3
1771521962.790469,282614,0.01,0.00,-0.01,-1.87,-85.31,74.37,-0.69,-1.75,0.69,-0.03,-0.13,-0.10,143.75,55.50,309.50,0.31,-1.00,-0.25,2,3
1771521962.981209,282805,0.01,0.10,-0.02,-2.06,-85.12,74.06,-1.12,0.06,1.06,0.00,-0.06,-0.03,143.81,55.38,309.37,0.06,0.00,-0.25,4,4
1771521963.171342,282995,0.11,0.03,-0.08,-2.12,-85.06,74.00,1.31,-1.81,-0.75,0.00,-0.08,-0.01,143.81,55.31,309.31,-0.88,0.37,0.69,4,4
1771521963.362810,283186,0.05,-0.01,-0.06,-2.06,-84.94,74.12,-0.75,-0.19,0.44,-0.03,-0.13,-0.08,143.81,55.31,309.31,0.31,-0.25,0.19,4,4
1771521963.553219,283377,0.00,-0.01,0.00,-2.12,-84.75,74.00,0.50,-1.00,0.88,-0.06,-0.13,-0.12,143.87,55.31,309.31,-1.00,0.37,0.62,4,4
1771521963.743932,283567,0.18,-0.12,-0.15,-2.19,-84.75,74.00,-0.62,2.75,-0.62,0.00,-0.13,-0.04,143.87,55.38,309.37,0.69,-0.06,-0.31,4,4
1771521963.934922,283758,0.01,0.01,-0.02,-2.25,-84.69,73.81,0.44,-0.25,1.25,-0.03,-0.08,-0.09,143.87,55.31,309.31,0.00,-0.06,-0.44,5,5
1771521964.125051,283948,0.01,0.04,-0.07,-2.31,-84.62,73.62,-1.12,-1.31,0.50,-0.06,-0.10,-0.12,143.87,55.38,309.25,0.81,-0.56,-0.31,5,5
1771521964.316006,284139,0.07,0.02,-0.06,-2.31,-84.56,73.50,-0.06,0.25,0.81,-0.04,-0.09,-0.08,143.87,55.38,309.25,0.81,-0.13,-0.44,5,5
1771521964.506767,284330,0.01,0.03,-0.08,-2.37,-84.50,73.31,0.75,-0.81,0.19,-0.02,-0.09,-0.08,143.87,55.38,309.19,-0.13,0.13,-0.37,5,5
1771521964.697579,284521,0.13,-0.05,-0.13,-2.37,-84.50,73.37,0.75,-0.50,0.00,-0.04,-0.09,-0.09,143.94,55.31,309.12,0.50,-1.69,0.06,4,6
1771521964.888342,284712,0.01,0.16,-0.03,-2.56,-84.06,73.00,-0.88,-0.81,0.62,-0.07,-0.11,-0.12,144.00,55.19,308.94,0.19,-0.50,-0.31,3,5
1771521965.078032,284901,-0.03,0.05,-0.03,-2.62,-84.00,72.94,0.25,0.19,-0.69,-0.06,-0.13,-0.10,143.94,55.13,308.81,0.75,0.19,-0.44,3,6
1771521965.269652,285093,0.02,0.06,-0.07,-2.62,-84.00,72.94,-0.81,0.62,0.75,-0.03,-0.12,-0.08,144.06,55.19,308.81,0.50,0.37,-0.56,3,6
1771521965.460122,285284,0.07,0.03,-0.09,-2.62,-84.06,72.87,0.44,0.56,-0.06,-0.03,-0.11,-0.07,144.06,55.13,308.81,-0.44,0.06,0.50,3,6
1771521965.650676,285474,0.06,0.01,-0.10,-2.62,-84.06,72.87,0.56,-1.19,0.06,-0.02,-0.12,-0.10,144.00,54.88,308.44,0.69,-0.94,0.44,3,6
1771521965.841967,285665,0.01,0.11,-0.05,-2.62,-83.94,72.87,-0.06,-0.06,0.75,-0.05,-0.14,-0.09,143.94,54.81,308.25,-0.25,-0.25,0.00,2,5
1771521966.031591,285855,0.06,0.08,-0.14,-2.69,-83.87,72.87,-0.56,-0.19,0.25,-0.02,-0.10,-0.10,143.94,54.75,308.25,0.06,0.19,0.13,2,4
1771521966.222871,286046,0.05,0.08,-0.11,-2.69,-83.81,72.87,-0.75,0.06,1.31,0.00,-0.09,-0.08,143.94,54.75,308.19,0.19,-0.13,-0.13,1,5
1771521966.413404,286237,0.03,0.19,-0.06,-2.75,-83.75,72.75,0.13,-0.56,-0.13,-0.01,-0.05,-0.08,143.94,54.75,308.19,0.31,0.56,0.37,2,5
1771521966.604313,286428,0.03,-0.04,-0.04,-2.62,-83.81,73.00,0.44,-0.44,0.13,-0.04,-0.12,-0.06,143.94,54.75,308.19,0.00,0.00,-0.13,2,5
1771521966.794934,286618,0.03,0.08,-0.02,-2.62,-83.75,72.87,0.13,0.31,0.00,-0.05,-0.11,-0.10,143.94,54.81,308.25,0.13,-0.25,-0.37,2,5
1771521966.984698,286808,0.03,0.13,-0.08,-2.69,-83.81,72.81,0.13,-0.75,-0.50,-0.06,-0.07,-0.12,143.94,54.81,308.25,0.69,-0.50,-0.69,1,5
1771521967.176366,287000,0.04,0.17,-0.09,-2.75,-83.75,72.62,-1.12,-0.37,0.13,-0.02,-0.09,-0.10,144.06,54.81,308.25,0.19,-0.13,-0.19,1,5
1771521967.366941,287190,0.04,0.16,-0.05,-2.75,-83.69,72.62,-0.31,-0.75,-0.31,-0.04,-0.07,-0.10,144.06,54.81,308.25,0.06,0.00,0.00,1,5
1771521967.557446,287381,0.07,0.09,-0.03,-2.75,-83.56,72.75,-0.25,-1.81,0.25,-0.07,-0.10,-0.10,144.06,54.81,308.25,0.37,-0.06,0.19,3,6
1771521967.748175,287572,0.01,0.08,-0.05,-2.75,-83.50,72.75,0.13,-0.69,-0.31,0.00,-0.13,-0.11,144.00,54.75,308.19,0.25,-0.31,0.31,3,6
1771521967.936765,287760,0.02,0.00,0.01,-2.75,-83.44,72.81,0.19,-0.19,-0.25,-0.07,-0.12,-0.10,144.00,54.75,308.12,0.37,0.31,-0.88,3,6
1771521968.129322,287953,0.00,0.11,-0.05,-2.81,-83.44,72.69,0.19,1.31,-0.25,-0.01,-0.14,-0.07,144.19,54.81,308.25,0.13,0.69,-1.06,3,6
1771521968.320108,288144,0.12,0.05,-0.15,-2.56,-84.00,73.00,1.50,4.31,-2.87,-0.06,-0.11,-0.12,144.19,55.00,308.44,0.31,1.06,-1.25,4,5
1771521968.510991,288334,0.05,0.17,-0.08,-2.56,-84.06,72.94,-1.37,-1.50,1.81,0.00,-0.12,-0.06,144.25,55.00,308.44,0.06,-0.37,-0.31,4,6
1771521968.701704,288525,0.13,0.10,-0.09,-2.62,-83.81,72.87,-0.44,-0.94,-0.69,0.00,-0.15,-0.06,144.12,54.88,308.25,-0.37,0.00,0.50,5,5
1771521968.891171,288714,0.06,0.15,-0.07,-2.56,-83.62,72.94,-0.44,-1.00,0.37,-0.05,-0.12,-0.09,144.12,54.88,308.25,0.00,-0.13,0.31,5,4
1771521969.082923,288906,0.05,0.07,-0.10,-2.56,-83.56,72.94,-0.31,0.50,-0.06,-0.05,-0.16,-0.06,144.12,54.88,308.25,-0.25,0.44,0.37,5,4
1771521969.273888,289097,0.04,-0.06,-0.05,-2.56,-83.56,73.12,1.00,0.37,-0.44,-0.05,-0.12,-0.09,144.19,54.88,308.31,0.50,-0.50,-0.06,5,4
1771521969.464434,289288,0.06,0.15,-0.07,-2.75,-83.50,72.81,-0.44,0.75,0.50,-0.09,-0.12,-0.13,144.12,54.88,308.19,0.19,-0.50,-0.56,3,2
1771521969.655141,289479,0.05,0.00,-0.06,-2.69,-83.56,72.87,-0.13,-0.13,-0.19,-0.08,-0.11,-0.09,144.12,54.88,308.19,0.13,-0.50,-0.56,3,2
1771521969.844129,289668,0.08,0.21,-0.13,-2.75,-83.37,72.44,-3.25,-1.75,0.25,-0.02,-0.12,-0.15,144.06,54.69,307.75,0.62,-0.44,0.44,3,2
1771521970.035676,289859,0.09,0.19,-0.10,-2.75,-83.25,72.06,0.50,0.25,-2.50,-0.02,-0.13,-0.12,143.62,54.69,307.56,-0.62,1.50,0.62,3,2
1771521970.226306,290050,0.09,0.09,-0.08,-2.44,-83.37,72.69,0.31,-0.37,-1.25,-0.03,-0.18,-0.12,143.25,54.56,307.44,-2.12,1.00,1.31,3,3
1771521970.416605,290240,0.05,-0.16,-0.04,-2.44,-83.37,73.25,-0.06,2.37,-1.44,0.00,-0.17,-0.01,143.12,54.69,307.69,-0.31,1.56,-0.62,4,2
1771521970.608255,290431,0.07,-0.02,-0.11,-2.37,-83.56,73.12,-0.37,0.13,1.06,-0.01,-0.09,-0.05,143.25,54.75,307.75,-0.06,-0.44,-0.44,3,3
1771521970.795976,290620,0.01,0.06,-0.06,-2.62,-83.44,72.81,0.37,0.31,0.62,-0.02,-0.14,-0.10,143.25,54.75,307.69,0.25,-0.13,0.00,3,3
1771521970.987220,290811,0.03,0.04,-0.04,-2.69,-83.50,72.81,-0.25,0.06,0.56,0.00,-0.09,-0.10,143.25,54.69,307.69,0.62,0.13,-0.31,3,3
1771521971.178412,291002,0.03,0.02,-0.10,-2.69,-83.50,72.75,0.56,-0.25,0.31,-0.01,-0.10,-0.07,143.25,54.69,307.69,0.25,0.13,0.19,3,4
1771521971.368802,291192,0.00,0.08,-0.05,-2.69,-83.44,72.75,0.19,-1.62,0.62,-0.01,-0.13,-0.09,143.31,54.69,307.69,-0.19,-0.13,-0.37,3,4
1771521971.558047,291381,0.08,0.06,-0.04,-2.75,-83.25,72.69,-1.62,-0.44,1.31,-0.01,-0.11,-0.08,143.50,54.81,307.87,0.37,-0.13,-1.31,3,4
1771521971.747713,291571,0.04,0.12,-0.08,-2.81,-83.19,72.50,0.06,0.31,0.31,-0.04,-0.11,-0.09,143.56,54.94,308.00,-0.25,0.88,-0.37,2,5
1771521971.938692,291762,0.08,0.00,-0.04,-2.87,-83.12,72.50,-0.06,-0.69,0.94,-0.06,-0.06,-0.14,143.56,54.94,308.00,0.19,-0.13,-0.31,2,5
1771521972.126650,291950,0.02,0.08,-0.04,-26.06,-83.00,72.25,0.00,1.37,-0.44,-0.05,-0.07,-0.12,143.56,54.88,307.87,-0.13,0.50,-0.62,2,5
1771521972.316353,292140,0.02,0.14,-0.10,-26.50,-83.06,72.31,-0.25,0.56,-0.56,-0.04,-0.06,-0.10,143.56,54.88,307.87,0.50,-0.06,-0.19,1,6
1771521972.507409,292331,0.08,0.10,-0.09,-3.00,-83.19,72.31,-0.69,0.44,-0.19,-0.03,-0.11,-0.09,143.56,54.75,307.75,0.00,0.00,0.06,1,6
1771521972.698798,292522,0.06,0.16,-0.13,-3.00,-83.12,72.31,0.31,0.50,-0.44,-0.01,-0.08,-0.04,143.50,54.69,307.69,-0.31,-0.06,0.37,1,6
1771521972.890179,292714,0.02,0.02,-0.06,-25.56,-82.94,72.37,-1.12,-2.62,0.69,-0.02,-0.13,-0.10,143.50,54.44,307.37,-0.31,-0.81,0.69,1,6
1771521973.079231,292903,0.04,0.03,0.00,-26.12,-82.62,72.25,1.44,0.25,-0.25,-0.03,-0.07,-0.14,143.56,54.38,307.37,0.37,0.06,-0.44,2,5
1771521973.269344,293093,0.00,0.02,-0.05,-25.94,-82.62,72.19,0.50,-0.06,-0.62,-0.01,-0.08,-0.11,143.56,54.38,307.37,0.00,0.19,-0.19,2,5
1771521973.460481,293284,0.06,0.14,-0.08,-26.37,-82.62,72.06,-0.31,-0.44,0.25,-0.02,-0.16,-0.14,143.56,54.38,307.44,-0.62,0.19,0.88,2,5
1771521973.651422,293475,0.03,0.06,-0.07,-25.87,-82.69,72.19,0.25,0.19,-0.75,-0.06,-0.12,-0.11,143.50,54.44,307.44,-0.62,0.25,0.00,2,4
1771521973.842472,293666,0.02,0.07,0.00,-26.19,-82.69,72.19,-0.94,0.81,-0.31,-0.02,-0.10,-0.08,143.56,54.44,307.44,0.00,0.25,-0.56,2,4
1771521974.033949,293857,0.07,0.06,-0.10,-26.81,-82.81,72.12,0.13,-0.56,-0.06,-0.05,-0.02,-0.14,143.62,54.44,307.50,-0.25,-0.31,0.06,2,3
1771521974.223903,294047,0.05,0.07,-0.08,-26.69,-82.69,72.06,-0.06,-1.37,-0.31,-0.06,-0.12,-0.07,143.62,54.44,307.50,-0.25,-0.88,0.44,2,3
1771521974.415211,294239,-0.05,0.11,0.05,-25.56,-82.31,72.12,0.62,-2.00,0.13,-0.06,-0.12,-0.17,143.56,54.31,307.25,0.75,-0.37,0.25,2,3
1771521974.606395,294430,0.01,0.13,-0.06,-25.06,-82.31,72.12,1.00,-0.50,-0.56,-0.04,-0.11,-0.10,143.50,54.38,307.31,-0.50,0.44,-0.37,2,3
1771521974.796870,294621,0.01,0.07,-0.04,-25.19,-82.31,72.25,-1.37,0.44,0.31,-0.01,-0.11,-0.10,143.56,54.38,307.37,0.13,0.37,-0.62,2,3
1771521974.987787,294811,0.06,0.08,-0.05,-25.31,-82.31,72.19,0.75,0.81,-0.19,-0.07,-0.10,-0.14,143.62,54.44,307.44,-0.13,0.56,-0.44,2,3
